Publication,Country,Contact_Type,Email,Reporter_Name,Story_Angle,Status,Date_Sent,Follow_Up_1,Follow_Up_2,Backlink_Secured,Notes
El País Retina,Spain,Tech Editor,tech@elpais.com,TBD,Creator Economy LATAM,pending,,,No,
Diario Financiero,Chile,Finance Editor,editor@df.cl,TBD,Monetización Directa,pending,,,No,
La República,Peru,Business Desk,negocio@larepublica.pe,TBD,Brecha de Expertise,pending,,,No,
Portafolio,Colombia,Business Editor,editor@portafolio.co,TBD,Fintech Alternativa,pending,,,No,
Infobae,Argentina,Tech Section,tecnologia@infobae.com,TBD,Platform Alternativa,pending,,,No,
Expansión,Mexico,Entrepreneurship,redaccion@expansion.com.mx,TBD,Creator Economy,pending,,,No,
TechCrunch en Español,Global,Editor,editors@techcrunch.com,TBD,Startups LATAM,pending,,,No,
StartupDaily,Chile,Editor,info@startupdaily.cl,TBD,Nebbuler Feature,pending,,,No,
PulsoX,Colombia,Tech Editors,redaccion@pulsox.com,TBD,Fintech Colombia,pending,,,No,
El Economista,Mexico,Business Desk,editor@eleconomista.com.mx,TBD,Economía de Expertos,pending,,,No,
Semana,Colombia,Tech/Business,redaccion@semana.com,TBD,Creator Economy,pending,,,No,
El Financiero,Mexico,Tech Editor,tecnologia@elfinanciero.com.mx,TBD,Plataforma Fintech,pending,,,No,
RPP,Peru,Business Section,redaccion@rpp.com.pe,TBD,Mercado Laboral,pending,,,No,
T13,Chile,Tech/Business,redaccion@t13.cl,TBD,Innovación Profesional,pending,,,No,
BBC News en Español,Global,Tech Correspondent,spanish@bbc.co.uk,TBD,Creator Economy Trend,pending,,,No,
El Observador,Uruguay,Business,redaccion@elobservador.com.uy,TBD,Monetización Digital,pending,,,No,
Ámbito,Argentina,Business,redaccion@ambito.com,TBD,Fintech Argentina,pending,,,No,
El Comercio,Ecuador,Tech/Business,redaccion@elcomercio.com,TBD,Plataforma Ecuador,pending,,,No,
Prensa Libre,Guatemala,Business,redaccion@prensalibre.com,TBD,Emprendimiento Regional,pending,,,No,
La Prensa,Panama,Business,redaccion@prensa.com,TBD,Monetización Digital,pending,,,No,
