nombre,plataforma_principal,url,pais,especialidad,audiencia_aprox,plataforma_pago_actual,mensaje_personalizado,prioridad
Marcelo Gantman,Substack,https://marcelogantman.substack.com,Argentina,Big Data Sports / análisis con datos,40K Substack + 95K X (@marcelogantman),Substack (mal monetizado vs potencial),"Marcelo, sigo Big Data Sports hace años — sos de los pocos que cruza datos y narrativa en LATAM. Estamos lanzando Nebbuler con 0% comisión para creadores de élite hasta el Mundial. ¿15 min esta semana?",P0-WHALE
Ezequiel Fernández Moores,Podcast Era por abajo,https://x.com/DiganmeRingo,Argentina,Análisis político-deportivo / Era por abajo,~120K X,Sin membresía propia (podcast en Spotify gratis),"Ezequiel, Era por abajo es de lo mejor que pasa en periodismo deportivo argentino. Con el Mundial encima te propongo armar tu membresía sin comisión hasta julio. Setup gratis. ¿Charlamos?",P0-WHALE
Andrés Burgo,Podcast Era por abajo,https://x.com/andresburgo,Argentina,Historia del fútbol / narrativa,~85K X,Sin membresía,"Andrés, leí 'El Partido' tres veces. Tu voz tiene una comunidad que pagaría por más. Te ofrecemos Nebbuler sin comisión hasta el Mundial — onboarding personal conmigo. ¿Te interesa?",P0
Alejandro Wall,Podcast Era por abajo,https://x.com/_alejandrowall,Argentina,Política del fútbol / DT del fútbol,~60K X,Sin membresía,"Ale, te sigo desde Tiempo Argentino. Era por abajo merece monetización propia, no depender de Spotify. Nebbuler te lo arma gratis para el Mundial. ¿Hablamos?",P1
Daniel Arcucci,Periodista La Nación / ESPN,https://x.com/danyarcucci,Argentina,Maradona / historia / selección,~280K X,Sin newsletter propia consolidada,"Daniel, tu memoria sobre Maradona y la Selección es patrimonio. Imaginá una membresía con tus archivos + análisis Mundial. Te lo armamos sin comisión hasta julio. ¿15 min?",P0-WHALE
Diego Borinsky,Autor / Periodista,https://x.com/diegoborinsky,Argentina,Gallardo / River / libros,~45K X,Sin membresía,"Diego, sos EL biógrafo de Gallardo. Tu audiencia River pagaría por contenido directo tuyo durante el Mundial. Nebbuler 0% comisión hasta julio. ¿Te muestro la plataforma?",P1
Juan Pablo Varsky,Podcast Clank! / Urbana Play,https://x.com/jpvarsky,Argentina,Entrevistas / análisis general,~1.1M X,Spotify (sin membresía),"Juan Pablo, Clank! tiene una audiencia que pagaría por contenido exclusivo. Nebbuler te arma membresía complementaria sin comisión. Ideal para el Mundial. ¿Charlamos?",P0-WHALE
Morena Beltrán,ESPN / Twitch,https://x.com/moreebeltran,Argentina,Análisis táctico / nueva generación,1M+ Instagram / Twitch activa,Twitch (donaciones),"More, sos referente de una nueva forma de hablar de fútbol. Tu Twitch + análisis táctico merecen membresía propia. Te la armamos gratis hasta el Mundial. ¿Hablamos?",P0-WHALE
Toti Pasman,Radio La Red / YouTube,https://x.com/totipasman,Argentina,Boca / opinión / polémica,~620K X,Sin membresía,"Toti, tu comunidad Boca es de las más fieles. Con el Mundial podés armar una membresía premium. Nebbuler te lo deja sin comisión hasta julio. ¿Lo vemos?",P1
Hernán Castillo,TyC Sports / Mercado de pases,https://x.com/HernanCastilloOk,Argentina,Mercado de pases River,~480K X,Sin canal propio pago,"Hernán, sos el primero en romper cada noticia de River. Tu audiencia pagaría por alertas premium en el Mundial. Nebbuler te lo monta gratis. ¿15 min?",P1
César Luis Merlo,Periodista mercado de pases,https://x.com/CLMerlo,Argentina,Mercado de pases internacional,~890K X,Sin membresía,"César, sos referencia mundial en mercado. Newsletter premium con tus filtraciones tendría miles de pagos. Nebbuler 0% hasta julio. ¿Hablamos?",P0-WHALE
Gastón Edul,TyC Sports / Selección,https://x.com/gastonedul,Argentina,Cobertura Selección Argentina,~1.3M X,Sin membresía,"Gastón, sos LA voz de la Selección en redes. Mundial 2026 = momento histórico para tu membresía. Nebbuler te la arma sin comisión. ¿Te interesa?",P0-WHALE
Carlos Antonio Vélez,Win Sports / Planeta Fútbol,https://x.com/velezfutbol,Colombia,Análisis / opinión / Liga BetPlay,~1.5M X,Sin membresía,"Carlos Antonio, tu Planeta Fútbol marca agenda. Una membresía con tus análisis del Mundial sería oro. Nebbuler 0% hasta julio. ¿15 min?",P0-WHALE
Eduardo Luis López,Win Sports / Narrador,https://x.com/eduardoluis10,Colombia,Narrador / selección Colombia,~750K X,Sin canal propio,"Eduardo Luis, tus narraciones son patrimonio colombiano. Membresía con análisis post-partido del Mundial = ingresos directos. Nebbuler te lo arma gratis. ¿Hablamos?",P0-WHALE
Tito Puccetti,ESPN / Win Sports,https://x.com/titopuccetti,Colombia,Cobertura selección Colombia,~580K X,Sin membresía,"Tito, tu trayectoria desde Francia 98 hasta hoy es única. Tu audiencia pagaría por charlas exclusivas pre-Mundial. Nebbuler 0% comisión. ¿Te interesa?",P0
Jorge Bermúdez,Ex-jugador / YouTube,https://www.youtube.com/c/JorgeBermudezFutbol,Colombia,Ex-jugador Boca/selección Colombia,~180K YT,YouTube AdSense,"Patrón, sos uno de los pocos ex-jugadores que entendió YouTube. Membresía con análisis exclusivos del Mundial = ingreso recurrente. Nebbuler te lo arma. ¿Hablamos?",P1
Faryd Mondragón,Win Sports / Ex-jugador,https://x.com/farydmondragon,Colombia,Arqueros / selección Colombia,~520K X,Sin membresía,"Faryd, sos referente moral del fútbol colombiano. Tus análisis del Mundial merecen audiencia paga. Nebbuler 0% hasta julio. ¿15 min esta semana?",P0
Steven Arce,YouTube El Pulso del Fútbol,https://www.youtube.com/@StevenArce,Colombia,Análisis fútbol colombiano e internacional,~250K YT,YouTube AdSense,"Steven, El Pulso del Fútbol creció enorme. Una membresía complementaria a YouTube te diversifica ingresos en el Mundial. Nebbuler gratis hasta julio. ¿Hablamos?",P1
César Augusto Londoño,Caracol Radio / Podcast,https://x.com/CesarALondono,Colombia,Análisis / radio histórica,~450K X,Sin membresía propia,"César Augusto, sos el dean del periodismo deportivo colombiano. Tu archivo + análisis Mundial merecen membresía propia. Nebbuler te lo arma. ¿Te interesa?",P0-WHALE
